"ac_type","ac_fl","fl","m_lo","m_nom","m_hi","V_cl_1","V_cl_2","M_cl","V_cr_1","V_cr_2","M_cr","V_des_1","V_des_2","M_des","h_MO","CL_TAS","CL_ROCD_lo_m","CL_ROCD_nom_m","CL_ROCD_hi_m","CL_fuel_nom_m","CR_TAS","CR_fuel_lo_m","CR_fuel_nom_m","CR_fuel_hi_m","DES_TAS","DES_ROCD_nom_m","DES_fuel_nom_m"
"A306","A306_FL000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"157","2210","1990","1620","270.3",NULL,NULL,NULL,NULL,"131","760","97.2"
"A306","A306_FL005","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"158","2190","1970","1600","267.3",NULL,NULL,NULL,NULL,"132","780","96.1"
"A306","A306_FL010","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"159","2170","1950","1570","264.3",NULL,NULL,NULL,NULL,"138","800","95.0"
"A306","A306_FL015","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"166","2290","2030","1650","261.5",NULL,NULL,NULL,NULL,"149","850","94.0"
"A306","A306_FL020","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"167","2270","2010","1620","258.5",NULL,NULL,NULL,NULL,"181","1020","31.0"
"A306","A306_FL030","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"190","2750","2360","1920","253.0","230","61.2","81.4","104.3","230","1360","25.0"
"A306","A306_FL040","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"225","3350","2780","2270","247.7","233","61.2","81.4","104.4","233","1380","24.5"
"A306","A306_FL060","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272","4210","3070","2370","236.8","272","65.9","81.7","99.6","240","1410","23.3"
"A306","A306_FL080","80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"280","4040","2930","2230","225.7","280","65.8","81.7","99.7","280","1550","22.1"
"A306","A306_FL100","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"289","3860","2780","2090","214.8","289","65.8","81.7","99.8","289","1590","20.9"
"A306","A306_FL120","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"356","3820","2800","2170","204.8","297","65.7","81.7","99.8","332","1880","19.8"
"A306","A306_FL140","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"366","3590","2610","2000","194.3","306","65.6","81.7","99.9","342","1920","18.6"
"A306","A306_FL160","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"377","3360","2410","1820","184.1","389","82.4","93.1","105.3","353","1960","17.4"
"A306","A306_FL180","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"388","3120","2220","1650","174.2","401","82.1","92.9","105.1","363","2000","16.2"
"A306","A306_FL200","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"400","2880","2020","1470","164.5","413","81.7","92.6","104.9","375","2040","15.1"
"A306","A306_FL220","220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"412","2630","1810","1290","155.0","425","81.3","92.3","104.7","386","2080","13.9"
"A306","A306_FL240","240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"425","2380","1610","1100","145.8","438","80.9","91.9","104.5","398","2120","12.7"
"A306","A306_FL260","260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"438","2130","1400","920","136.9","452","80.4","91.6","104.3","411","2160","11.6"
"A306","A306_FL280","280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"452","1880","1200","730","128.1","466","79.9","91.2","104.1","424","2200","10.4"
"A306","A306_FL290","290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"459","1760","1090","640","123.9","468","78.4","90.1","103.4","431","2220","9.8"
"A306","A306_FL310","310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"464","2200","1290","660","115.4","464","74.3","87.0","101.5","444","2250","8.6"
"A306","A306_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"459","1950","1050","420","107.2","459","70.6","84.7","100.6","459","2290","7.4"
"A306","A306_FL350","350",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"455","1700","810","170","99.2","455","67.6","83.0","97.9","455","3150","6.3"
"A306","A306_FL370","370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"453","1320","510","0","91.6","453","65.1","82.0","90.3","453","2850","5.1"
"A306","A306_FL390","390",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"453","1080","260","0","84.1","453","63.2","81.9","83.0","453","2850","3.9"
"A306","A306_FL410","410",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"453","830","10","0","77.0","453","61.9","75.9","75.9","453","2880","2.8"
"A306","A306_speed_laws","none","104400","140000","171700","250","300","0.79","250","310","0.79","250","280","0.79","41000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"A30B","A30B_FL000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"143","1580","1440","1090","252.5",NULL,NULL,NULL,NULL,"134","870","65.6"
"A30B","A30B_FL005","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"144","1570","1430","1070","250.1",NULL,NULL,NULL,NULL,"135","890","65.0"
"A30B","A30B_FL010","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"145","1550","1410","1060","247.7",NULL,NULL,NULL,NULL,"141","930","64.4"
"A30B","A30B_FL015","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"151","1680","1510","1130","245.3",NULL,NULL,NULL,NULL,"152","960","37.0"
"A30B","A30B_FL020","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"152","1660","1490","1120","243.0",NULL,NULL,NULL,NULL,"184","1020","36.6"
"A30B","A30B_FL030","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"175","2120","1840","1420","238.3","230","70.7","87.5","109.6","230","1150","35.8"
"A30B","A30B_FL040","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"210","2680","2250","1770","233.7","233","70.7","87.5","109.7","233","1170","35.0"
"A30B","A30B_FL060","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272","3440","2610","1980","224.5","272","77.7","90.8","108.0","240","1220","33.4"
"A30B","A30B_FL080","80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"280","3310","2490","1870","215.3","280","77.6","90.7","108.0","280","1470","31.8"
"A30B","A30B_FL100","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"289","3180","2370","1760","206.3","289","77.5","90.7","108.0","289","1520","30.1"
"A30B","A30B_FL120","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"356","2970","2250","1710","197.4","297","77.3","90.6","108.0","356","2150","28.5"
"A30B","A30B_FL140","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"366","2790","2090","1560","188.6","306","77.2","90.5","108.0","366","2200","26.9"
"A30B","A30B_FL160","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"377","2590","1930","1420","179.9","377","94.8","104.2","116.6","377","2350","25.3"
"A30B","A30B_FL180","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"388","2400","1760","1270","171.3","388","94.4","103.8","116.3","388","2400","23.7"
"A30B","A30B_FL200","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"400","2200","1590","1110","162.8","400","93.9","103.4","116.0","400","2450","22.1"
"A30B","A30B_FL220","220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"412","2000","1420","960","154.4","412","93.4","103.0","115.6","412","2490","20.5"
"A30B","A30B_FL240","240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"425","1790","1240","800","146.1","425","92.8","102.5","115.3","425","2540","18.9"
